group,value,model,n,events,selection_at_10,precision_at_10,recall_at_10,fnr_at_10,brier,ece
gender_group,female,raw_gender_children_excluded_rf,4174,538,0.12338284619070436,0.2543689320388349,0.24349442379182157,0.7565055762081785,0.23302437869812637,0.34639802865708463
gender_group,not_coded_female,raw_gender_children_excluded_rf,5079,566,0.08092144122858831,0.24574209245742093,0.1784452296819788,0.8215547703180213,0.20253691207993202,0.3172997530449113
has_children_any,0.0,raw_gender_children_excluded_rf,4766,617,0.12043642467477969,0.24041811846689895,0.22366288492706646,0.7763371150729336,0.2317799929066255,0.34403521938185266
has_children_any,1.0,raw_gender_children_excluded_rf,4487,487,0.07844885223980388,0.26704545454545453,0.19301848049281314,0.8069815195071869,0.19983625739847938,0.3159703502910332
income_group_traincut,high,raw_gender_children_excluded_rf,2183,153,0.007329363261566651,0.3125,0.032679738562091505,0.9673202614379085,0.14102016105022439,0.2676936800330213
income_group_traincut,low,raw_gender_children_excluded_rf,3443,548,0.200697066511763,0.25470332850940663,0.32116788321167883,0.6788321167883211,0.27313936932738175,0.3757352786930418
income_group_traincut,middle,raw_gender_children_excluded_rf,3627,403,0.060380479735318446,0.2328767123287671,0.12655086848635236,0.8734491315136477,0.20762692941084615,0.32517202902606773
education_s,1.0,raw_gender_children_excluded_rf,113,25,0.21238938053097345,0.375,0.36,0.64,0.2587516357035701,0.3136547713617196
education_s,2.0,raw_gender_children_excluded_rf,2060,275,0.13883495145631067,0.22727272727272727,0.23636363636363636,0.7636363636363637,0.2538589789609261,0.3702411433863452
education_s,3.0,raw_gender_children_excluded_rf,2361,320,0.156289707750953,0.25474254742547425,0.29375,0.70625,0.24895041844543372,0.3644655967240226
education_s,4.0,raw_gender_children_excluded_rf,2745,303,0.0692167577413479,0.23684210526315788,0.1485148514851485,0.8514851485148515,0.2067416890272633,0.32773422755232645
education_s,5.0,raw_gender_children_excluded_rf,1974,181,0.028875379939209727,0.3333333333333333,0.10497237569060773,0.8950276243093923,0.1488664778705351,0.2528659292266854
gender_children,female_children,raw_gender_children_excluded_rf,1961,241,0.11422743498215196,0.23214285714285715,0.2157676348547718,0.7842323651452282,0.2286447247390747,0.34414854018814084
gender_children,female_no_children,raw_gender_children_excluded_rf,2213,297,0.13149570718481698,0.27147766323024053,0.265993265993266,0.734006734006734,0.23690531020002445,0.3484059929128174
gender_children,not_coded_female_children,raw_gender_children_excluded_rf,2526,246,0.050673000791765635,0.328125,0.17073170731707318,0.8292682926829268,0.1774714892057211,0.2940948829956143
gender_children,not_coded_female_no_children,raw_gender_children_excluded_rf,2553,320,0.11084998041519781,0.20848056537102475,0.184375,0.815625,0.22733724822574355,0.3402592131876941
gender_group,female,platt_gender_children_excluded_rf,4174,538,0.12434115955917585,0.27167630057803466,0.2620817843866171,0.7379182156133829,0.10898166948168897,0.00985039297198132
gender_group,not_coded_female,platt_gender_children_excluded_rf,5079,566,0.08013388462295727,0.2334152334152334,0.16784452296819788,0.8321554770318021,0.09624938037434438,0.009132162437651309
has_children_any,0.0,platt_gender_children_excluded_rf,4766,617,0.11791859001258917,0.24199288256227758,0.22042139384116693,0.779578606158833,0.10972003078898059,0.005995038418036313
has_children_any,1.0,platt_gender_children_excluded_rf,4487,487,0.0811232449297972,0.27472527472527475,0.2053388090349076,0.7946611909650925,0.09378525174895998,0.014006776528168225
income_group_traincut,high,platt_gender_children_excluded_rf,2183,153,0.010994044892349977,0.20833333333333334,0.032679738562091505,0.9673202614379085,0.064374970673597,0.026265063159467705
income_group_traincut,low,platt_gender_children_excluded_rf,3443,548,0.19314551263433052,0.26015037593984963,0.3156934306569343,0.6843065693430657,0.1309062638867098,0.012697603920804715
income_group_traincut,middle,platt_gender_children_excluded_rf,3627,403,0.065343258891646,0.24472573839662448,0.14392059553349876,0.8560794044665012,0.09718755549916204,0.0075883949829780965
education_s,1.0,platt_gender_children_excluded_rf,113,25,0.19469026548672566,0.36363636363636365,0.32,0.6799999999999999,0.1703352702409592,0.08692766421456849
education_s,2.0,platt_gender_children_excluded_rf,2060,275,0.129126213592233,0.22556390977443608,0.21818181818181817,0.7818181818181819,0.11381367933793839,0.006867437439067113
education_s,3.0,platt_gender_children_excluded_rf,2361,320,0.15247776365946633,0.25555555555555554,0.2875,0.7125,0.11373168743456749,0.011542812021538278
education_s,4.0,platt_gender_children_excluded_rf,2745,303,0.08014571948998178,0.24545454545454545,0.1782178217821782,0.8217821782178218,0.09581996696695248,0.009863389461934843
education_s,5.0,platt_gender_children_excluded_rf,1974,181,0.029381965552178316,0.3793103448275862,0.12154696132596685,0.8784530386740331,0.08028860334710484,0.01869307004289306
gender_children,female_children,platt_gender_children_excluded_rf,1961,241,0.12085670576236614,0.25316455696202533,0.24896265560165975,0.7510373443983402,0.10491194600912487,0.010103124758082872
gender_children,female_no_children,platt_gender_children_excluded_rf,2213,297,0.12742882964301852,0.2872340425531915,0.2727272727272727,0.7272727272727273,0.11258796307847983,0.0096264404041796
gender_children,not_coded_female_children,platt_gender_children_excluded_rf,2526,246,0.05027711797307997,0.31496062992125984,0.16260162601626016,0.8373983739837398,0.08514730739259284,0.017037283702015175
gender_children,not_coded_female_no_children,platt_gender_children_excluded_rf,2553,320,0.10967489228358794,0.19642857142857142,0.171875,0.828125,0.1072340401283218,0.005608158911403282
gender_group,female,isotonic_gender_children_excluded_rf,4174,538,0.12505989458552946,0.26053639846743293,0.2527881040892193,0.7472118959107807,0.10891939525423319,0.011705094298332927
gender_group,not_coded_female,isotonic_gender_children_excluded_rf,5079,566,0.079543217168734,0.2301980198019802,0.16431095406360424,0.8356890459363957,0.096158527176999,0.010977610311719347
has_children_any,0.0,isotonic_gender_children_excluded_rf,4766,617,0.117079311791859,0.24014336917562723,0.2171799027552674,0.7828200972447326,0.10975113023463964,0.005575368477541709
has_children_any,1.0,isotonic_gender_children_excluded_rf,4487,487,0.08201470915979496,0.25815217391304346,0.19507186858316222,0.8049281314168377,0.09359144832290053,0.016804402006067334
income_group_traincut,high,isotonic_gender_children_excluded_rf,2183,153,0.00961978928080623,0.19047619047619047,0.026143790849673203,0.9738562091503268,0.06444704091442513,0.023357251839347025
income_group_traincut,low,isotonic_gender_children_excluded_rf,3443,548,0.20534417659018298,0.25035360678925034,0.32299270072992703,0.677007299270073,0.13065575033209778,0.007227730503793825
income_group_traincut,middle,isotonic_gender_children_excluded_rf,3627,403,0.05459057071960298,0.24242424242424243,0.11910669975186104,0.8808933002481389,0.09718309253199466,0.010695279665547185
education_s,1.0,isotonic_gender_children_excluded_rf,113,25,0.22123893805309736,0.4,0.4,0.6,0.17023320267931685,0.07817483485457086
education_s,2.0,isotonic_gender_children_excluded_rf,2060,275,0.12961165048543688,0.21722846441947566,0.2109090909090909,0.7890909090909091,0.11376854671147157,0.00936534834766357
education_s,3.0,isotonic_gender_children_excluded_rf,2361,320,0.15713680643795003,0.25336927223719674,0.29375,0.70625,0.11375073366204347,0.013830944978218407
education_s,4.0,isotonic_gender_children_excluded_rf,2745,303,0.07468123861566485,0.22926829268292684,0.1551155115511551,0.8448844884488449,0.09560202599954257,0.01273300515746302
education_s,5.0,isotonic_gender_children_excluded_rf,1974,181,0.029381965552178316,0.3448275862068966,0.11049723756906077,0.8895027624309393,0.08025638989357857,0.012623391416790718
gender_children,female_children,isotonic_gender_children_excluded_rf,1961,241,0.12034676185619582,0.2330508474576271,0.22821576763485477,0.7717842323651453,0.1048102778331417,0.012041914334142444
gender_children,female_no_children,isotonic_gender_children_excluded_rf,2213,297,0.12923633077270674,0.28321678321678323,0.2727272727272727,0.7272727272727273,0.11256059690934411,0.011406628826022749
gender_children,not_coded_female_children,isotonic_gender_children_excluded_rf,2526,246,0.052256532066508314,0.30303030303030304,0.16260162601626016,0.8373983739837398,0.08488197695726991,0.02099221215777819
gender_children,not_coded_female_no_children,isotonic_gender_children_excluded_rf,2553,320,0.10654132393262829,0.1948529411764706,0.165625,0.834375,0.10731581893376974,0.005485327987595398
gender_group,female,under_remote_directional_rule,4174,538,0.10828941063727839,0.25663716814159293,0.21561338289962825,0.7843866171003717,0.10964512211229674,0.00536368096602229
gender_group,not_coded_female,under_remote_directional_rule,5079,566,0.09332545776727702,0.2088607594936709,0.17491166077738515,0.8250883392226148,0.0976498393912233,0.006434214939956151
has_children_any,0.0,under_remote_directional_rule,4766,617,0.11141418380193034,0.2222222222222222,0.1912479740680713,0.8087520259319287,0.1107209474082941,0.007030123312695282
has_children_any,1.0,under_remote_directional_rule,4487,487,0.08803209271227992,0.24556962025316456,0.19917864476386038,0.8008213552361396,0.09492450158609765,0.0097608515792659
income_group_traincut,high,under_remote_directional_rule,2183,153,0.052679798442510306,0.17391304347826086,0.13071895424836602,0.869281045751634,0.066036985121978,0.04333151365549353
income_group_traincut,low,under_remote_directional_rule,3443,548,0.13883241359279697,0.26359832635983266,0.22992700729927007,0.7700729927007299,0.13259500483966638,0.03351325916461233
income_group_traincut,middle,under_remote_directional_rule,3627,403,0.09181141439205956,0.2072072072072072,0.17121588089330025,0.8287841191066998,0.09730877689012969,0.00857039711102233
education_s,1.0,under_remote_directional_rule,113,25,0.13274336283185842,0.4,0.24,0.76,0.1808691273053177,0.10169527828931944
education_s,2.0,under_remote_directional_rule,2060,275,0.14029126213592233,0.17993079584775087,0.1890909090909091,0.8109090909090909,0.11545377338370412,0.021343559832024468
education_s,3.0,under_remote_directional_rule,2361,320,0.13130029648454045,0.2645161290322581,0.25625,0.74375,0.11452930680848784,0.010012337051211868
education_s,4.0,under_remote_directional_rule,2745,303,0.06885245901639345,0.2275132275132275,0.1419141914191419,0.858085808580858,0.09609879993155994,0.009198955204931022
education_s,5.0,under_remote_directional_rule,1974,181,0.06231003039513678,0.2601626016260163,0.17679558011049723,0.8232044198895028,0.08163849555311377,0.022551624676225117
gender_children,female_children,under_remote_directional_rule,1961,241,0.10453850076491586,0.25853658536585367,0.21991701244813278,0.7800829875518672,0.10548723369883319,0.003051413108772694
gender_children,female_no_children,under_remote_directional_rule,2213,297,0.11161319475824673,0.2550607287449393,0.21212121212121213,0.7878787878787878,0.11332954108147976,0.010175835407156579
gender_children,not_coded_female_children,under_remote_directional_rule,2526,246,0.07521773555027712,0.23157894736842105,0.17886178861788618,0.8211382113821138,0.08672437582478555,0.017286548548022765
gender_children,not_coded_female_no_children,under_remote_directional_rule,2553,320,0.11124167645906777,0.1936619718309859,0.171875,0.828125,0.10845975751453776,0.008979924861482637
