outcome,reference,threshold_days,n,events,weighted_prevalence,under_share,over_share,prevalence_under,prevalence_not_under,prevalence_over,prevalence_not_over
dissatisfied_broad,combined,0.5,38575,4536,0.1473650573787331,0.4185584537063589,0.11404716698898243,0.19920263352264936,0.11004908666251989,0.1375947376716375,0.14862277363816856
dissatisfied_broad,combined,1.0,38575,4536,0.1473650573787331,0.40890317002643445,0.09650525996966597,0.19988109581009325,0.11103602717098597,0.14235101820330112,0.14790062347855001
dissatisfied_broad,combined,1.5,38575,4536,0.1473650573787331,0.3182035392586288,0.059180706448565004,0.21525300437755882,0.11568084331792851,0.12377118492681925,0.14884919152556886
dissatisfied_broad,combined,2.0,38575,4536,0.1473650573787331,0.30697641889562033,0.04946044379865402,0.21918615196282606,0.1155517352671615,0.13569190381986776,0.14797245909261716
dissatisfied_broad,combined,2.5,38575,4536,0.1473650573787331,0.19978678650763654,0.0347970815318269,0.24164178556179802,0.12382727488705693,0.12308236566447721,0.1482404865628203
dissatisfied_broad,combined,3.0,38575,4536,0.1473650573787331,0.19581094459263987,0.02726255738016065,0.24397376728460887,0.1238419285630052,0.13807599830111586,0.14762539844818878
dissatisfied_broad,planned,0.5,37434,4438,0.14835896047296418,0.4247477135566216,0.11025502592780574,0.1999288393387931,0.11028142709699072,0.13894539124966807,0.149525466999028
dissatisfied_broad,planned,1.0,37434,4438,0.14835896047296418,0.4153586327382969,0.09261774635908356,0.20058515009225036,0.11125484857099628,0.14483416271653665,0.14871874139579128
dissatisfied_broad,planned,1.5,37434,4438,0.14835896047296418,0.32297476577446915,0.056095722575625076,0.21628968801635745,0.11595261916086458,0.12582127240657484,0.14969836313010432
dissatisfied_broad,planned,2.0,37434,4438,0.14835896047296418,0.3116240107161381,0.04758351240376436,0.22019450433353935,0.11583940627832125,0.13887619486701072,0.14883272725536387
dissatisfied_broad,planned,2.5,37434,4438,0.14835896047296418,0.20220217447257005,0.03248316301403871,0.24329198774276298,0.12429814715785303,0.12606046449257013,0.14910760447812224
dissatisfied_broad,planned,3.0,37434,4438,0.14835896047296418,0.19845400757445883,0.024815438250704983,0.24538702812505808,0.12433587376961137,0.1433829166433544,0.14848558543528412
dissatisfied_broad,current,0.5,35530,3966,0.13932895655992641,0.4940693789130972,0.1136089387678937,0.17117552154083543,0.10822901533314182,0.1390960253829499,0.13935881140050374
dissatisfied_broad,current,1.0,35530,3966,0.13932895655992641,0.4737541824126931,0.0971258845753569,0.17377947204082983,0.10831478932116548,0.14461668759354665,0.13876013356980738
dissatisfied_broad,current,1.5,35530,3966,0.13932895655992641,0.38039754798484426,0.06490075296683114,0.1871341250894848,0.1099795425437252,0.1539934193817634,0.13831116654243797
dissatisfied_broad,current,2.0,35530,3966,0.13932895655992641,0.36868909341399103,0.045283400732069226,0.18969865592669685,0.10991277096684604,0.16633673568280807,0.13804794386375832
dissatisfied_broad,current,2.5,35530,3966,0.13932895655992641,0.25843002462351167,0.03939365920042697,0.20277758561566078,0.11721771781825964,0.16504651781318652,0.13827430097371224
dissatisfied_broad,current,3.0,35530,3966,0.13932895655992641,0.24964008812296923,0.03561870237246892,0.20546697413993045,0.11732524837187963,0.1636415485002659,0.13843098914977792
dissatisfied_strict,combined,0.5,38575,1603,0.05015889389287864,0.4185584537063589,0.11404716698898243,0.06615387867598117,0.03864469071880567,0.043544027616484876,0.051010414121410136
dissatisfied_strict,combined,1.0,38575,1603,0.05015889389287864,0.40890317002643445,0.09650525996966597,0.06620836456569343,0.039056348417116665,0.04740237101312029,0.05045332721422203
dissatisfied_strict,combined,1.5,38575,1603,0.05015889389287864,0.3182035392586288,0.059180706448565004,0.07180859684639225,0.04005468757855566,0.04404431768562401,0.05054352135753547
dissatisfied_strict,combined,2.0,38575,1603,0.05015889389287864,0.30697641889562033,0.04946044379865402,0.07370803175452277,0.03972774810513093,0.04664220425946953,0.05034188157480705
dissatisfied_strict,combined,2.5,38575,1603,0.05015889389287864,0.19978678650763654,0.0347970815318269,0.08327410994356323,0.0418911191451982,0.052538544555467456,0.05007310374809252
dissatisfied_strict,combined,3.0,38575,1603,0.05015889389287864,0.19581094459263987,0.02726255738016065,0.0837227075752623,0.041986484660139455,0.06114182216008611,0.049851079369690854
dissatisfied_strict,planned,0.5,37434,1559,0.05044634405425508,0.4247477135566216,0.11025502592780574,0.06626974759925168,0.038762853810392156,0.041474958965956814,0.05155805620137915
dissatisfied_strict,planned,1.0,37434,1559,0.05044634405425508,0.4153586327382969,0.09261774635908356,0.06630508039072612,0.03917950012132278,0.04562843862221042,0.05093811424426779
dissatisfied_strict,planned,1.5,37434,1559,0.05044634405425508,0.32297476577446915,0.056095722575625076,0.07189759429378897,0.04021302899974551,0.039642123574961746,0.05108843305538356
dissatisfied_strict,planned,2.0,37434,1559,0.05044634405425508,0.3116240107161381,0.04758351240376436,0.07381823428715352,0.039866018351770706,0.04357053065084069,0.05078986535678217
dissatisfied_strict,planned,2.5,37434,1559,0.05044634405425508,0.20220217447257005,0.03248316301403871,0.08390377077273269,0.04196654601737733,0.048571174945932744,0.050509300502655785
dissatisfied_strict,planned,3.0,37434,1559,0.05044634405425508,0.19845400757445883,0.024815438250704983,0.08421989996094387,0.042084381567935175,0.05685172784054306,0.05028334680013985
dissatisfied_strict,current,0.5,35530,1394,0.04727142472122768,0.4940693789130972,0.1136089387678937,0.05672326226082311,0.038041179885002836,0.05154297449287376,0.04672393924029741
dissatisfied_strict,current,1.0,35530,1394,0.04727142472122768,0.4737541824126931,0.0971258845753569,0.05768162391556448,0.03789961549587819,0.0525543210006569,0.04670312182551547
dissatisfied_strict,current,1.5,35530,1394,0.04727142472122768,0.38039754798484426,0.06490075296683114,0.06477387061209941,0.036526006463163445,0.06196789041513785,0.046251413537909784
dissatisfied_strict,current,2.0,35530,1394,0.04727142472122768,0.36868909341399103,0.045283400732069226,0.06492220923151343,0.036963268040813395,0.06774160713032919,0.04630049840256863
dissatisfied_strict,current,2.5,35530,1394,0.04727142472122768,0.25843002462351167,0.03939365920042697,0.07238295624884251,0.038520296808152596,0.07076456303348978,0.0463079908514789
dissatisfied_strict,current,3.0,35530,1394,0.04727142472122768,0.24964008812296923,0.03561870237246892,0.07254215671170051,0.03886400894490695,0.06735416986274421,0.04652968354086926
